,themes_map
0,"['魔法与传说', '信仰与选择', '忠诚与团结', '政治与权力', '勇气与冒险', '文化传承']"
1,"['忠诚与承诺', '友情', '生死与和平', '政治与权力', '历史与文明']"
2,"['政治与权力', '忠诚与承诺', '团结与支持', '勇气与冒险', '牺牲奉献', '真相与谎言']"
3,"['技术与未来', '探险与冒险', '勇气与冒险', '忠诚与团结', '信任与诚实']"
4,['真相与谎言']
5,"['家庭团圆', '友情', '忠诚与承诺', '勇气与冒险', '犯罪与黑帮', '汽车文化']"
6,"['友情', '儿童与成长', '探险与冒险', '忠诚与承诺']"
7,"['友情与成长', '人与自然', '儿童与成长', '家庭']"
8,"['友情', '成长', '儿童与成长', '勇气与冒险', '自信']"
9,"['犯罪与黑帮', '政治与权力', '面对困境与挑战', '忠诚与承诺']"
10,"['儿童与成长', '友情', '忠诚与团队合作', '勇气与冒险', '教育', '自信']"
11,"['复仇与救赎', '父女关系', '信任和背叛', '职业道德', '自我发现', '黑暗世界']"
12,"['青春与成长', '探险与冒险', '人与自然', '友情', '奇幻世界']"
13,"['人与自然', '友情', '自我成长与挑战', '勇气与冒险']"
14,"['农村与城市的差异', '自我发现', '爱情与友谊', '民间传说与传统文化', '适应与融入', '勇敢面对']"
15,"['人与自然', '勇敢面对', '自我发现', '适应与融入', '爱情与友谊', '冒险']"
16,"['职业道德', '信任和背叛', '勇敢面对', '爱情与友谊', '奉献和牺牲', '家庭团圆']"
17,"['团结与支持', '勇气与冒险', '忠诚与承诺', '政治与权力', '生死与和平', '历史与文明']"
18,"['犯罪与黑帮', '心理与健康', '信任与诚实']"
19,"['社会平等', '友情', '勇敢面对', '社会和谐', '适应与融入', '自我发现']"
20,"['自我发现', '爱情与友谊', '青春与成长', '爱情与选择']"
21,"['勇气与冒险', '忠诚与团结', '生死与和平', '坚定信念', '勇敢面对']"
22,"['女性力量与平等', '家庭矛盾与和解', '法律与正义', '勇敢面对', '亲情疏远与和解', '信任和背叛']"
23,"['团结与支持', '勇敢面对', '文化传承', '童年回忆', '冒险与探险', '运动精神']"
24,"['人与自然', '战斗与生存', '家庭团圆', '勇气与冒险', '团结与支持', '技术与未来']"
25,"['自我发现', '勇敢面对', '爱情与友谊', '人与自然', '敌对与和解', '儿童与成长']"
26,"['家庭团圆', '姐妹情谊', '勇气与冒险', '心灵成长', '爱情与友谊', '自我接受']"
27,"['女性力量与平等', '自我发现', '勇气与冒险', '忠诚与承诺', '家庭团圆', '文化传承']"
28,"['复仇与救赎', '信任和背叛', '勇气与冒险', '忠诚与团结', '敌对与和解']"
29,"['环保意识', '友谊', '勇气与冒险', '团结与支持', '亲情与关怀']"
30,"['生存挑战', '面对困境与挑战', '战斗与生存', '勇气与冒险']"
31,"['人与自然', '人与自然', '技术与未来', '民间传说与传统文化', '勇气与冒险', '团结与支持']"
32,"['奇幻世界', '灵异现象']"
33,"['生死与和平', '团结与支持', '忠诚与承诺', '勇气与冒险', '牺牲奉献', '坚定信念']"
34,"['友情与成长', '自我成长', '坚定信念', '家庭团圆', '面对困境与挑战']"
35,"['生死与和平', '忠诚与团结', '历史与文明', '勇气与冒险', '牺牲奉献']"
36,"['政治与权力', '忠诚与承诺', '真相与谎言', '阴谋与权谋']"
37,"['团结与支持', '牺牲奉献', '勇气与冒险', '忠诚与承诺']"
38,"['探险与冒险', '人与自然', '历史与文明', '勇气与冒险', '友谊']"
39,"['自我发现', '家庭团圆', '勇气与冒险', '爱情与友谊', '魔法与传说', '反叛与救赎']"
40,"['人与自然', '技术与未来', '勇气与冒险', '友情', '民间传说与传统文化', '自我成长']"
41,"['勇气与冒险', '忠诚与承诺', '人与自然', '家庭团圆', '信任与诚实', '坚定信念']"
42,"['自我发现', '友谊', '勇气与冒险', '团结与支持', '信任与诚实', '适应与融入']"
43,"['环保意识', '动物与人类和谐共处', '自我发现', '友谊', '探险精神', '乐观向上']"
44,"['爱情与选择', '自我发现', '友情', '信任和背叛', '忠诚与承诺']"
45,"['牺牲奉献', '忠诚与承诺', '勇气与冒险', '团结与支持']"
46,"['技术与未来', '友谊', '忠诚与承诺', '勇气与冒险', '真相与谎言']"
47,"['友情与成长', '勇气与冒险', '忠诚与团结', '亲情与关怀', '自我发现']"
48,"['探险与冒险', '勇气与冒险', '忠诚与承诺', '信任和背叛', '黑帮与善恶较量', '道义与背叛']"
49,"['友情与成长', '非亲生家庭关系', '团结与支持', '勇气与冒险', '黑帮与善恶较量']"
50,"['政治与权力', '犯罪与黑帮', '忠诚与承诺', '勇气与冒险', '面对困境与挑战']"
51,"['复仇与救赎', '信任和背叛', '黑暗世界', '犯罪与黑帮']"
52,"['真实事件改编', '勇气与冒险', '团结与支持', '忠诚与承诺', '生死抉择与奋斗', '生死与和平']"
53,"['青春与成长', '友情', '探险精神', '勇气与冒险', '多元宇宙']"
54,"['生死抉择与奋斗', '人与自然', '探险精神', '战斗与生存', '动物与人类和谐共处']"
55,"['自我发现', '友情与牺牲', '环保意识', '勇敢面对', '探险精神']"
56,"['生死与和平', '历史与文明', '勇气与冒险', '忠诚与承诺', '牺牲奉献', '生死抉择与奋斗']"
57,"['复仇与救赎', '信任和背叛', '职业道德', '黑暗世界', '勇敢面对', '忠诚与团结']"
58,"['环保意识', '友情', '勇气与冒险', '团结与支持', '自我发现', '动物与人类和谐共处']"
59,"['家庭团圆', '友情与成长', '敌对与和解', '信任与诚实', '勇敢面对']"
60,"['忠诚与承诺', '信任与诚实', '牺牲奉献', '勇气与冒险', '黑暗世界']"
61,"['友情', '自我发现', '探险精神', '乐观向上', '黑帮与善恶较量']"
62,"['忠诚与团队合作', '自我发现', '勇敢面对', '友谊', '动物与人类和谐共处']"
63,"['自我成长', '友情', '技术与未来', '勇敢面对', '忠诚与团队合作', '黑帮与善恶较量']"
64,"['自我成长', '勇气与冒险', '忠诚与团队合作', '黑帮与善恶较量', '技术与未来', '信任和背叛']"
65,"['技术与未来', '人工智能', '自我成长', '人类潜能', '选择与责任']"
66,"['勇气与冒险', '忠诚与承诺', '团结与支持', '历史与文明', '生死与和平', '奉献和牺牲']"
67,"['自我成长与发现', '勇敢面对', '姐妹情谊', '人与自然', '文化传承', '探险精神']"
68,"['官场腐败', '黑帮与善恶较量', '反腐倡廉', '挑战与克服困难', '人性善恶', '诚实守信']"
69,"['自我发现', '友谊', '勇敢面对', '黑帮与善恶较量', '忠诚与承诺']"
70,"['牺牲奉献', '忠诚与团结', '勇气与冒险', '生死与和平', '历史与文明', '生死抉择与奋斗']"
71,"['多元宇宙', '忠诚与团队合作', '勇气与冒险', '接受和包容', '人类潜能', '选择与责任']"
72,"['忠诚与团队合作', '勇气与冒险', '忠诚与承诺', '黑帮与善恶较量']"
73,"['黑暗世界', '职业道德', '复仇与救赎', '信任和背叛']"
74,"['生死抉择与奋斗', '信任和背叛', '犯罪与黑帮', '职业道德', '勇敢面对']"
75,"['生存挑战', '战斗与生存', '勇气与冒险', '人与自然', '生死抉择与奋斗', '人与自然的关系']"
76,"['牺牲奉献', '忠诚与承诺', '团结与支持', '勇气与冒险', '历史与文明', '生死与和平']"
77,"['青春与成长', '宿命与选择', '时空错位', '爱与牺牲', '灵魂互换']"
78,"['魔法与传说', '阴阳冲突', '灵异现象', '人妖之间', '勇敢面对', '真相与谎言']"
79,"['环保意识', '忠诚与团队合作', '自我发现', '动物与人类和谐共处', '友谊', '探险精神']"
80,"['信任和背叛', '忠诚与承诺', '勇气与冒险', '爱情与友谊', '职业道德']"
81,"['忠诚与团队合作', '勇气与冒险', '忠诚与承诺', '生死抉择与奋斗', '敌对与和解']"
82,"['人类与机器人的关系', '技术与未来', '忠诚与团队合作', '黑帮与善恶较量']"
83,"['忠诚与承诺', '团结与支持', '勇气与冒险', '牺牲奉献', '生死与和平', '生死抉择与奋斗']"
84,"['灵异现象', '阴阳冲突', '真相与谎言', '诅咒与解除']"
85,"['职业道德', '犯罪与黑帮', '黑帮与善恶较量', '真相与谎言', '信任和背叛', '复仇与救赎']"
86,"['生死抉择与奋斗', '面对困境与挑战', '勇敢面对', '真相与谎言']"
87,"['心理与健康', '真相与谎言', '信任和背叛']"
88,"['文化传承', '魔法与传说', '勇气与冒险', '自我发现', '忠诚与团结']"
89,"['忠诚与承诺', '勇气与冒险', '生死抉择与奋斗', '忠诚与团队合作', '生死与和平']"
90,"['勇气与冒险', '忠诚与团结', '敌对与和解', '友情', '信任与诚实', '黑帮与善恶较量']"
91,"['信任和背叛', '牺牲奉献', '职业道德', '真相与谎言', '竞争与合作']"
92,"['人与自然', '友情', '勇气与冒险', '忠诚与团队合作', '自我发现', '动物与人类和谐共处']"
93,"['忠诚与承诺', '牺牲奉献', '历史与文明', '政治与权力', '守护与捍卫', '生死抉择与奋斗']"
94,"['神秘与恐怖', '灵异现象', '家庭秘密']"
95,"['自卑与自信', '勇敢面对', '邻里关系', '江湖武侠', '黑帮与善恶较量', '社会底层']"
96,"['家庭团圆', '牺牲奉献', '忠诚与团队合作', '信任和背叛', '自我发现', '勇敢面对']"
97,"['女性力量与平等', '勇气与冒险', '自信', '职业道德', '忠诚与团队合作', '信任和背叛']"
98,"['忠诚与团队合作', '忠诚与承诺', '勇气与冒险', '坚定信念']"
99,"['生死与和平', '忠诚与承诺', '忠诚与团队合作', '勇气与冒险']"
100,"['环保意识', '勇敢面对', '友谊', '自我成长与发现', '忠诚与团队合作', '探险精神']"
101,"['忠诚与团结', '爱情与选择']"
102,"['环保意识', '忠诚与团队合作', '勇敢面对', '自我发现', '动物与人类和谐共处', '探险与冒险']"
103,"['职业道德', '复仇与救赎', '信任和背叛', '黑暗世界', '真相与谎言']"
104,"['家庭团圆', '自我成长', '忠诚与团结', '勇气与冒险', '友情与成长']"
105,"['友情与成长', '家庭团圆', '探险与冒险', '友情与成长', '勇气与冒险', '变身与适应']"
106,"['自我发现', '友谊', '忠诚与团结', '勇气与冒险', '诚实与信任', '黑帮与善恶较量']"
107,"['人类与机器人的关系', '技术与未来', '选择与责任', '忠诚与团队合作', '友情与信任', '生死与和平']"
108,"['忠诚与背叛', '忠诚与团队合作', '职业道德', '信任和背叛', '政治阴谋', '勇敢面对']"
109,"['友情与团结', '勇气与冒险', '忠诚与团队合作', '乐观与积极', '音乐与情感', '自我成长与发现']"
110,['忠诚与团队合作']
111,"['生死抉择与奋斗', '勇气与冒险', '忠诚与团结', '生死与和平', '牺牲奉献', '忠诚与团队合作']"
112,"['友情与成长', '英雄成长', '探险精神', '忠诚与团队合作', '勇气与挑战', '选择与责任']"
113,"['文化传承', '家庭团圆', '自我成长', '友情与成长', '教育', '忠诚与承诺']"
114,"['爱国情怀', '忠诚与团结', '勇气与冒险', '国家荣誉与使命', '牺牲奉献', '职业道德']"
115,"['警匪对决', '黑帮与善恶较量', '忠诚与团队合作', '勇气与冒险', '黑暗世界']"
116,"['信任和背叛', '爱情与选择', '道义与背叛', '黑帮与善恶较量', '人妖之间']"
117,"['友情与牺牲', '自我发现', '勇气与冒险', '选择与责任']"
118,"['成长与蜕变', '友谊', '勇气与冒险', '乐观向上', '阴谋与权谋']"
119,"['兄弟关系', '身份对调', '企业抢夺战', '国际大案', '跨国重逢', '喜剧式励志']"
120,"['自我成长', '勇气与冒险', '爱情与友谊', '青春与成长', '黑帮与善恶较量', '忠诚与承诺']"
121,"['忠诚与团队合作', '牺牲奉献', '忠诚与承诺', '勇气与冒险', '历史与文明']"
122,"['人与自然的关系', '生存挑战', '人与自然', '勇敢面对', '恐怖与挑战', '战斗与生存']"
123,"['女性力量与平等', '技术与未来', '真相与谎言', '恐怖与挑战', '控制与解脱', '复仇与救赎']"
124,"['人与自然', '生存挑战', '勇气与冒险', '人与自然的关系', '忠诚与团队合作']"
125,"['忠诚与团队合作', '生存挑战', '人与自然的关系', '勇敢面对', '技术与未来', '战斗与生存']"
126,"['人与自然', '青春与成长', '宿命与选择', '爱情与牺牲', '希望与坚持']"
127,"['人机合作', '勇气与冒险', '忠诚与团队合作', '人类与机器人的关系']"
